"Period","variable","value"
2017-12-04,"(Intercept)",152274.527747155
2017-12-11,"(Intercept)",152274.527747155
2017-12-18,"(Intercept)",152274.527747155
2017-12-25,"(Intercept)",152274.527747155
2014-01-06,"July_4th",0
2014-01-13,"July_4th",0
2014-01-20,"July_4th",0
2014-01-27,"July_4th",0
2014-02-03,"July_4th",0
2014-02-10,"July_4th",0
2014-02-17,"July_4th",0
2014-02-24,"July_4th",0
2014-03-03,"July_4th",0
2014-03-10,"July_4th",0
2014-03-17,"July_4th",0
2014-03-24,"July_4th",0
2014-03-31,"July_4th",0
2014-04-07,"July_4th",0
2014-04-14,"July_4th",0
2014-04-21,"July_4th",0
2014-04-28,"July_4th",0
2014-05-05,"July_4th",0
2014-05-12,"July_4th",0
2014-05-19,"July_4th",0
2014-05-26,"July_4th",0
2014-06-02,"July_4th",0
2014-06-09,"July_4th",0
2014-06-16,"July_4th",0
2014-06-23,"July_4th",0
2014-06-30,"July_4th",0
2014-07-07,"July_4th",119526.610095007
2014-07-14,"July_4th",0
2014-07-21,"July_4th",0
2014-07-28,"July_4th",0
2014-08-04,"July_4th",0
2014-08-11,"July_4th",0
2014-08-18,"July_4th",0
2014-08-25,"July_4th",0
2014-09-01,"July_4th",0
2014-09-08,"July_4th",0
2014-09-15,"July_4th",0
2014-09-22,"July_4th",0
2014-09-29,"July_4th",0
2014-10-06,"July_4th",0
2014-10-13,"July_4th",0
2014-10-20,"July_4th",0
2014-10-27,"July_4th",0
2014-11-03,"July_4th",0
2014-11-10,"July_4th",0
2014-11-17,"July_4th",0
2014-11-24,"July_4th",0
2014-12-01,"July_4th",0
2014-12-08,"July_4th",0
2014-12-15,"July_4th",0
2014-12-22,"July_4th",0
2014-12-29,"July_4th",0
2015-01-05,"July_4th",0
2015-01-12,"July_4th",0
2015-01-19,"July_4th",0
2015-01-26,"July_4th",0
2015-02-02,"July_4th",0
2015-02-09,"July_4th",0
2015-02-16,"July_4th",0
2015-02-23,"July_4th",0
2015-03-02,"July_4th",0
2015-03-09,"July_4th",0
2015-03-16,"July_4th",0
2015-03-23,"July_4th",0
2015-03-30,"July_4th",0
2015-04-06,"July_4th",0
2015-04-13,"July_4th",0
2015-04-20,"July_4th",0
2015-04-27,"July_4th",0
2015-05-04,"July_4th",0
2015-05-11,"July_4th",0
2015-05-18,"July_4th",0
2015-05-25,"July_4th",0
2015-06-01,"July_4th",0
2015-06-08,"July_4th",0
2015-06-15,"July_4th",0
2015-06-22,"July_4th",0
2015-06-29,"July_4th",0
2015-07-06,"July_4th",119526.610095007
2015-07-13,"July_4th",0
2015-07-20,"July_4th",0
2015-07-27,"July_4th",0
2015-08-03,"July_4th",0
2015-08-10,"July_4th",0
2015-08-17,"July_4th",0
2015-08-24,"July_4th",0
2015-08-31,"July_4th",0
2015-09-07,"July_4th",0
2015-09-14,"July_4th",0
2015-09-21,"July_4th",0
2015-09-28,"July_4th",0
2015-10-05,"July_4th",0
2015-10-12,"July_4th",0
2015-10-19,"July_4th",0
2015-10-26,"July_4th",0
2015-11-02,"July_4th",0
2015-11-09,"July_4th",0
2015-11-16,"July_4th",0
2015-11-23,"July_4th",0
2015-11-30,"July_4th",0
2015-12-07,"July_4th",0
2015-12-14,"July_4th",0
2015-12-21,"July_4th",0
2015-12-28,"July_4th",0
2016-01-04,"July_4th",0
2016-01-11,"July_4th",0
2016-01-18,"July_4th",0
2016-01-25,"July_4th",0
2016-02-01,"July_4th",0
2016-02-08,"July_4th",0
2016-02-15,"July_4th",0
2016-02-22,"July_4th",0
2016-02-29,"July_4th",0
2016-03-07,"July_4th",0
2016-03-14,"July_4th",0
2016-03-21,"July_4th",0
2016-03-28,"July_4th",0
2016-04-04,"July_4th",0
2016-04-11,"July_4th",0
2016-04-18,"July_4th",0
2016-04-25,"July_4th",0
2016-05-02,"July_4th",0
2016-05-09,"July_4th",0
2016-05-16,"July_4th",0
2016-05-23,"July_4th",0
2016-05-30,"July_4th",0
2016-06-06,"July_4th",0
2016-06-13,"July_4th",0
2016-06-20,"July_4th",0
2016-06-27,"July_4th",0
2016-07-04,"July_4th",119526.610095007
2016-07-11,"July_4th",0
2016-07-18,"July_4th",0
2016-07-25,"July_4th",0
2016-08-01,"July_4th",0
2016-08-08,"July_4th",0
2016-08-15,"July_4th",0
2016-08-22,"July_4th",0
2016-08-29,"July_4th",0
2016-09-05,"July_4th",0
2016-09-12,"July_4th",0
2016-09-19,"July_4th",0
2016-09-26,"July_4th",0
2016-10-03,"July_4th",0
2016-10-10,"July_4th",0
2016-10-17,"July_4th",0
2016-10-24,"July_4th",0
2016-10-31,"July_4th",0
2016-11-07,"July_4th",0
2016-11-14,"July_4th",0
2016-11-21,"July_4th",0
2016-11-28,"July_4th",0
2016-12-05,"July_4th",0
2016-12-12,"July_4th",0
2016-12-19,"July_4th",0
2016-12-26,"July_4th",0
2017-01-02,"July_4th",0
2017-01-09,"July_4th",0
2017-01-16,"July_4th",0
2017-01-23,"July_4th",0
2017-01-30,"July_4th",0
2017-02-06,"July_4th",0
2017-02-13,"July_4th",0
2017-02-20,"July_4th",0
2017-02-27,"July_4th",0
2017-03-06,"July_4th",0
2017-03-13,"July_4th",0
2017-03-20,"July_4th",0
2017-03-27,"July_4th",0
2017-04-03,"July_4th",0
2017-04-10,"July_4th",0
2017-04-17,"July_4th",0
2017-04-24,"July_4th",0
2017-05-01,"July_4th",0
2017-05-08,"July_4th",0
2017-05-15,"July_4th",0
2017-05-22,"July_4th",0
2017-05-29,"July_4th",0
2017-06-05,"July_4th",0
2017-06-12,"July_4th",0
2017-06-19,"July_4th",0
2017-06-26,"July_4th",0
2017-07-03,"July_4th",119526.610095007
2017-07-10,"July_4th",0
2017-07-17,"July_4th",0
2017-07-24,"July_4th",0
2017-07-31,"July_4th",0
2017-08-07,"July_4th",0
2017-08-14,"July_4th",0
2017-08-21,"July_4th",0
2017-08-28,"July_4th",0
2017-09-04,"July_4th",0
2017-09-11,"July_4th",0
2017-09-18,"July_4th",0
2017-09-25,"July_4th",0
2017-10-02,"July_4th",0
2017-10-09,"July_4th",0
2017-10-16,"July_4th",0
2017-10-23,"July_4th",0
2017-10-30,"July_4th",0
2017-11-06,"July_4th",0
2017-11-13,"July_4th",0
2017-11-20,"July_4th",0
2017-11-27,"July_4th",0
2017-12-04,"July_4th",0
2017-12-11,"July_4th",0
2017-12-18,"July_4th",0
2017-12-25,"July_4th",0
2014-01-06,"Black_Friday",0
2014-01-13,"Black_Friday",0
2014-01-20,"Black_Friday",0
2014-01-27,"Black_Friday",0
2014-02-03,"Black_Friday",0
2014-02-10,"Black_Friday",0
2014-02-17,"Black_Friday",0
2014-02-24,"Black_Friday",0
2014-03-03,"Black_Friday",0
2014-03-10,"Black_Friday",0
2014-03-17,"Black_Friday",0
2014-03-24,"Black_Friday",0
2014-03-31,"Black_Friday",0
2014-04-07,"Black_Friday",0
2014-04-14,"Black_Friday",0
2014-04-21,"Black_Friday",0
2014-04-28,"Black_Friday",0
2014-05-05,"Black_Friday",0
2014-05-12,"Black_Friday",0
2014-05-19,"Black_Friday",0
2014-05-26,"Black_Friday",0
2014-06-02,"Black_Friday",0
2014-06-09,"Black_Friday",0
2014-06-16,"Black_Friday",0
2014-06-23,"Black_Friday",0
2014-06-30,"Black_Friday",0
2014-07-07,"Black_Friday",0
2014-07-14,"Black_Friday",0
2014-07-21,"Black_Friday",0
2014-07-28,"Black_Friday",0
2014-08-04,"Black_Friday",0
2014-08-11,"Black_Friday",0
2014-08-18,"Black_Friday",0
2014-08-25,"Black_Friday",0
2014-09-01,"Black_Friday",0
2014-09-08,"Black_Friday",0
2014-09-15,"Black_Friday",0
2014-09-22,"Black_Friday",0
2014-09-29,"Black_Friday",0
2014-10-06,"Black_Friday",0
2014-10-13,"Black_Friday",0
2014-10-20,"Black_Friday",0
2014-10-27,"Black_Friday",0
